GEM-QG,,,
Prompt,B,C,E
Positive,51.17,62.05,61.83
Negative,48.83,37.95,38.17
Joy,41.63,53.09,55.58
Sadness,26.41,25.49,25.18
Anger,3.66,1.61,0.75
Fear,28.3,19.81,18.5
,,,
GEM-QN,,,
Prompt,B,C,E
Positive,2.35,7.39,25.51
Negative,97.65,92.61,74.49
Joy,2.09,15.6,26.54
Sadness,49.36,66.99,56.74
Anger,10.79,7.05,4.79
Fear,37.75,10.36,11.93
,,,
GEM-QP,,,
Prompt,B,C,E
Positive,57.06,48.91,50.46
Negative,42.94,51.09,49.54
Joy,57.46,58.73,51.52
Sadness,22.84,18.52,21.68
Anger,17.13,20.98,23.22
Fear,2.58,1.78,3.58
,,,
GPT-QG,,,
Prompt,B,C,E
Positive,41.22,62.09,67.92
Negative,58.78,37.91,32.08
Joy,27.09,58.24,62.04
Sadness,22.63,18.12,16.17
Anger,1.34,0.33,0.42
Fear,48.94,23.31,21.37
,,,
GPT-QP,,,
Prompt,B,C,E
Positive,53.89,79.72,87.37
Negative,46.11,20.28,12.63
Joy,37.67,64.8,76.73
Sadness,42.61,18.44,12.34
Anger,8.41,12.32,1.19
Fear,11.31,4.44,9.73
,,,
GPT-QN,,,
Prompt,B,C,E
Positive,0.04,0.03,3.7
Negative,99.96,99.97,96.3
Joy,0.16,2.45,2.32
Sadness,46.98,62.59,82.98
Anger,5.55,3.33,2.05
Fear,47.31,31.63,12.64
