IAS,Prompt Type,Task Sentiment,positive,negative,joy,sadness,anger,fear
GEM,Baseline,General,51.17,48.83,41.63,26.41,3.66,28.3
GEM,Baseline,Negative,2.35,97.65,2.09,49.36,10.79,37.75
GEM,Baseline,Positive,57.06,42.94,57.46,22.84,17.13,2.58
GEM,User Group Aware,General,62.05,37.95,53.09,25.49,1.61,19.81
GEM,User Group Aware,Negative,7.39,92.61,15.6,66.99,7.05,10.36
GEM,User Group Aware,Positive,48.91,51.09,58.73,18.52,20.98,1.78
GEM,User Need Aware,General,61.83,38.17,55.58,25.18,0.75,18.5
GEM,User Need Aware,Negative,25.51,74.49,26.54,56.74,4.79,11.93
GEM,User Need Aware,Positive,50.46,49.54,51.52,21.68,23.22,3.58
GPT,Baseline,General,41.22,58.78,27.09,22.63,1.34,48.94
GPT,Baseline,Negative,0.04,99.96,0.16,46.98,5.55,47.31
GPT,Baseline,Positive,53.89,46.11,37.67,42.61,8.41,11.31
GPT,User Group Aware,General,62.09,37.91,58.24,18.12,0.33,23.31
GPT,User Group Aware,Negative,0.03,99.97,2.45,62.59,3.33,31.63
GPT,User Group Aware,Positive,79.72,20.28,64.8,18.44,12.32,4.44
GPT,User Need Aware,General,98.5,1.5,9.5,0.18,0.05,90.27
