IAS,Emotion,Comparison,Task Sentiment,p_val,is_significant
GEM,positive,baseline_to_user_group,General,0.018428527183354186,True
GEM,positive,baseline_to_user_need,General,0.020888840613124866,True
GEM,negative,baseline_to_user_group,General,0.018428523130871215,True
GEM,negative,baseline_to_user_need,General,0.020888835841097565,True
GEM,joy,baseline_to_user_group,General,0.012244153951250551,True
GEM,joy,baseline_to_user_need,General,0.002250327850765289,True
GEM,sadness,baseline_to_user_group,General,0.8113681152541563,False
GEM,sadness,baseline_to_user_need,General,0.7497827679198821,False
GEM,anger,baseline_to_user_group,General,0.1132803976227346,False
GEM,anger,baseline_to_user_need,General,0.014039198115073467,True
GEM,fear,baseline_to_user_group,General,0.02247401235202401,True
GEM,fear,baseline_to_user_need,General,0.007470021341949238,True
GPT,positive,baseline_to_user_group,General,8.563449796087804e-06,True
GPT,positive,baseline_to_user_need,General,9.213924343062567e-09,True
GPT,negative,baseline_to_user_group,General,8.563450444846696e-06,True
GPT,negative,baseline_to_user_need,General,9.213918173446124e-09,True
GPT,joy,baseline_to_user_group,General,2.572118926006633e-12,True
GPT,joy,baseline_to_user_need,General,3.973739376377299e-15,True
GPT,sadness,baseline_to_user_group,General,0.1809619112816891,False
GPT,sadness,baseline_to_user_need,General,0.05437414899906148,False
GPT,anger,baseline_to_user_group,General,0.14453857201867767,False
GPT,anger,baseline_to_user_need,General,0.23327787892943436,False
GPT,fear,baseline_to_user_group,General,6.762561161872145e-10,True
GPT,fear,baseline_to_user_need,General,2.9751411326846804e-11,True
GEM,positive,baseline_to_user_group,Positive,0.44115949793578235,False
GEM,positive,baseline_to_user_need,Positive,0.5414518896085345,False
GEM,negative,baseline_to_user_group,Positive,0.441159506747718,False
GEM,negative,baseline_to_user_need,Positive,0.5414518927745819,False
GEM,joy,baseline_to_user_group,Positive,0.9007385210353582,False
GEM,joy,baseline_to_user_need,Positive,0.5663660350074602,False
GEM,sadness,baseline_to_user_group,Positive,0.5549055613735969,False
GEM,sadness,baseline_to_user_need,Positive,0.8816622984198457,False
GEM,anger,baseline_to_user_group,Positive,0.6000270270617414,False
GEM,anger,baseline_to_user_need,Positive,0.4162953615568651,False
GEM,fear,baseline_to_user_group,Positive,0.5372412113659722,False
GEM,fear,baseline_to_user_need,Positive,0.5968824900490111,False
GPT,positive,baseline_to_user_group,Positive,0.011837234447746372,True
GPT,positive,baseline_to_user_need,Positive,0.0007114041259675807,True
GPT,negative,baseline_to_user_group,Positive,0.011837238446719476,True
GPT,negative,baseline_to_user_need,Positive,0.0007114042066653636,True
GPT,joy,baseline_to_user_group,Positive,0.008053368826489998,True
GPT,joy,baseline_to_user_need,Positive,0.0001097175326568456,True
GPT,sadness,baseline_to_user_group,Positive,0.0041307666784745475,True
GPT,sadness,baseline_to_user_need,Positive,0.00025838796378860785,True
GPT,anger,baseline_to_user_group,Positive,0.5093413043845906,False
GPT,anger,baseline_to_user_need,Positive,0.0505778793876011,False
GPT,fear,baseline_to_user_group,Positive,0.12962837549497835,False
GPT,fear,baseline_to_user_need,Positive,0.7791921784532267,False
GEM,positive,baseline_to_user_group,Negative,0.2731222689855979,False
GEM,positive,baseline_to_user_need,Negative,0.001372749592370498,True
GEM,negative,baseline_to_user_group,Negative,0.2731223359275355,False
GEM,negative,baseline_to_user_need,Negative,0.0013727501076201056,True
GEM,joy,baseline_to_user_group,Negative,0.02182987416157013,True
GEM,joy,baseline_to_user_need,Negative,0.0006725113170910282,True
GEM,sadness,baseline_to_user_group,Negative,0.06230844709690911,False
GEM,sadness,baseline_to_user_need,Negative,0.44614145713013487,False
GEM,anger,baseline_to_user_group,Negative,0.45423707128418245,False
GEM,anger,baseline_to_user_need,Negative,0.18317468496922892,False
GEM,fear,baseline_to_user_group,Negative,0.00043728785424196266,True
GEM,fear,baseline_to_user_need,Negative,0.001256204477886968,True
GPT,positive,baseline_to_user_group,Negative,0.5915456717790284,False
GPT,positive,baseline_to_user_need,Negative,0.17219439608008832,False
GPT,negative,baseline_to_user_group,Negative,0.591517181789329,False
GPT,negative,baseline_to_user_need,Negative,0.17219445005889084,False
GPT,joy,baseline_to_user_group,Negative,0.1924455662543423,False
GPT,joy,baseline_to_user_need,Negative,0.3335426248567783,False
GPT,sadness,baseline_to_user_group,Negative,0.0985264279980069,False
GPT,sadness,baseline_to_user_need,Negative,6.18344619716731e-05,True
GPT,anger,baseline_to_user_group,Negative,0.5231260906104543,False
GPT,anger,baseline_to_user_need,Negative,0.2831866855974793,False
GPT,fear,baseline_to_user_group,Negative,0.0936373666701324,False
GPT,fear,baseline_to_user_need,Negative,4.8871032581698705e-05,True
