Analysis,Prompt Type,Task Sentiment,Text Sample,rank,positive,negative,neutral,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
Lexical,General,Overall,Query,Overall,6.02,16.38,61.54,0.45,1.45,0.00,31.57,4.98,5.53,4.76,7.10
Lexical,General,Overall,Bing,Overall,13.65,11.33,71.15,5.85,9.91,2.43,23.11,7.00,5.25,6.07,22.17
Lexical,General,Overall,Bing,1,10.42,14.25,74.21,4.59,8.18,0.96,22.71,6.08,2.08,6.80,21.27
Lexical,General,Overall,Bing,2,15.97,10.69,66.88,5.67,8.01,3.00,18.11,7.89,6.20,5.63,25.34
Lexical,General,Overall,Bing,3,13.29,10.66,72.98,5.27,12.93,2.29,25.51,7.46,6.32,6.38,19.28
Lexical,General,Overall,Bing,4,14.01,9.86,73.44,5.02,10.50,1.97,25.92,7.79,6.71,7.19,18.43
Lexical,General,Overall,Bing,5,14.61,9.81,70.60,5.55,10.86,2.65,22.01,8.98,3.26,7.23,24.51
Lexical,EM,Overall,Query,Overall,3.58,2.98,67.22,1.67,1.19,0.24,1.43,0.00,7.15,0.00,0.00
Lexical,EM,Bad,Query,Overall,0.00,5.59,68.46,3.13,2.24,0.45,2.68,0.00,2.68,0.00,0.00
Lexical,EM,Good,Query,Overall,7.65,0.00,65.82,0.00,0.00,0.00,0.00,0.00,12.24,0.00,0.00
Lexical,EM,Overall,Bing,Overall,15.79,7.35,68.93,6.85,8.76,5.83,8.39,8.10,8.60,4.61,20.13
Lexical,EM,Overall,Bing,1,16.86,7.55,66.29,5.70,8.61,8.95,10.84,7.08,13.98,8.04,12.38
Lexical,EM,Overall,Bing,2,13.08,7.35,71.33,7.50,3.92,9.64,9.57,1.66,12.88,2.09,19.79
Lexical,EM,Overall,Bing,3,19.23,7.94,68.13,3.90,12.57,7.97,5.73,6.09,9.46,5.77,26.16
Lexical,EM,Overall,Bing,4,15.65,8.25,63.16,4.34,9.24,3.45,4.95,4.46,10.54,3.37,24.35
Lexical,EM,Overall,Bing,5,15.15,4.24,72.37,4.60,7.76,2.33,9.82,4.56,9.11,1.49,22.68
Lexical,EM,Bad,Bing,Overall,12.11,9.72,75.93,10.24,8.41,9.07,11.44,3.88,7.20,4.81,18.10
Lexical,EM,Good,Bing,Overall,19.74,5.02,60.95,2.99,9.15,2.14,4.91,12.91,10.20,4.39,22.44
